SNR (dB),BER,CSI,modulation_rate,modulation_rate_index,Ber Threshold
2.2,0.091413043,1.844847739,bpsk_0.5,0,0.1
2.3,0.082769324,1.829284082,bpsk_0.5,0,0.1
2.4,0.070851449,1.82012537,bpsk_0.5,0,0.1
2.5,0.063381643,1.803915892,bpsk_0.5,0,0.1
2.6,0.054481884,1.788388613,bpsk_0.5,0,0.1
2.7,0.048698068,1.77900506,bpsk_0.5,0,0.1
2.8,0.04439372,1.761315048,bpsk_0.5,0,0.1
2.9,0.036275362,1.750952209,bpsk_0.5,0,0.1
3.0,0.031493961,1.739363847,bpsk_0.5,0,0.1
3.1,0.027205314,1.723041274,bpsk_0.5,0,0.1
3.2,0.021861111,1.718200148,bpsk_0.5,0,0.1
3.3,0.018653382,1.69985793,bpsk_0.5,0,0.1
3.4,0.015297101,1.687234627,bpsk_0.5,0,0.1
3.5,0.01359058,1.678657056,bpsk_0.5,0,0.1
3.6,0.010660628,1.667891778,bpsk_0.5,0,0.1
3.7,0.00942029,1.651250163,bpsk_0.5,0,0.1
3.8,0.00753744,1.642901771,bpsk_0.5,0,0.1
3.9,0.00603744,1.632574942,bpsk_0.5,0,0.1
4.0,0.005637681,1.619349802,bpsk_0.5,0,0.1
4.1,0.004766908,1.608763441,bpsk_0.5,0,0.1
4.2,0.003202899,1.595707526,bpsk_0.5,0,0.1
4.3,0.002567633,1.590412719,bpsk_0.5,0,0.1
4.4,0.002048309,1.579958476,bpsk_0.5,0,0.1
4.5,0.001916667,1.565422792,bpsk_0.5,0,0.1
4.6,0.001392512,1.559991424,bpsk_0.5,0,0.1
4.7,0.001077295,1.549291601,bpsk_0.5,0,0.1
4.8,0.000836957,1.537605128,bpsk_0.5,0,0.1
4.9,0.000679952,1.52819192,bpsk_0.5,0,0.1
5.0,0.000619565,1.518135605,bpsk_0.5,0,0.1
5.1,0.000431159,1.510034541,bpsk_0.5,0,0.1
5.2,0.000274155,1.50127393,bpsk_0.5,0,0.1
5.3,0.000322464,1.495352298,bpsk_0.5,0,0.1
5.4,0.000266908,1.483197942,bpsk_0.5,0,0.1
5.5,0.000304348,1.475749219,bpsk_0.5,0,0.1
5.6,0.000166667,1.467982305,bpsk_0.5,0,0.1
5.7,0.000158213,1.456936182,bpsk_0.5,0,0.1
5.8,6.64e-05,1.451903615,bpsk_0.5,0,0.1
5.9,8.94e-05,1.443225073,bpsk_0.5,0,0.1
6.0,8.09e-05,1.432967616,bpsk_0.5,0,0.1
6.1,4.11e-05,1.425533503,bpsk_0.5,0,0.1
6.2,3.62e-05,1.42073833,bpsk_0.5,0,0.1
6.210299957,0.09089372,1.270151277,4qam_0.75,1,0.1
6.310299957,0.082257246,1.26588059,4qam_0.75,1,0.1
6.410299957,0.072629227,1.258135324,4qam_0.75,1,0.1
6.510299957,0.060251208,1.25661017,4qam_0.75,1,0.1
6.610299957,0.056243961,1.24864739,4qam_0.75,1,0.1
6.710299957,0.047683575,1.242752533,4qam_0.75,1,0.1
6.810299957,0.040014493,1.240261351,4qam_0.75,1,0.1
6.910299957,0.032940821,1.233156642,4qam_0.75,1,0.1
7.010299957,0.029326087,1.228381402,4qam_0.75,1,0.1
7.110299957,0.024853865,1.221927706,4qam_0.75,1,0.1
7.210299957,0.020888889,1.221911052,4qam_0.75,1,0.1
7.310299957,0.017285024,1.215659043,4qam_0.75,1,0.1
7.410299957,0.014455314,1.21204134,4qam_0.75,1,0.1
7.510299957,0.011646135,1.209851178,4qam_0.75,1,0.1
7.610299957,0.009390097,1.205317478,4qam_0.75,1,0.1
7.710299957,0.008514493,1.202381124,4qam_0.75,1,0.1
7.810299957,0.005942029,1.198328547,4qam_0.75,1,0.1
7.910299957,0.005603865,1.195481404,4qam_0.75,1,0.1
8.010299957,0.004306763,1.189861558,4qam_0.75,1,0.1
8.110299957,0.003452899,1.183746626,4qam_0.75,1,0.1
8.210299957,0.003018116,1.181359823,4qam_0.75,1,0.1
8.310299957,0.002248792,1.178530986,4qam_0.75,1,0.1
8.410299957,0.002099034,1.175426861,4qam_0.75,1,0.1
8.510299957,0.001421498,1.169657028,4qam_0.75,1,0.1
8.610299957,0.001126812,1.16689911,4qam_0.75,1,0.1
8.710299957,0.000741546,1.165085792,4qam_0.75,1,0.1
8.810299957,0.000665459,1.160892247,4qam_0.75,1,0.1
8.910299957,0.000603865,1.157512902,4qam_0.75,1,0.1
9.010299957,0.00047343,1.153164297,4qam_0.75,1,0.1
9.110299957,0.000184783,1.152856054,4qam_0.75,1,0.1
9.210299957,0.000277778,1.147202729,4qam_0.75,1,0.1
9.310299957,0.000333333,1.147577178,4qam_0.75,1,0.1
9.410299957,0.000144928,1.144413805,4qam_0.75,1,0.1
9.510299957,0.000154589,1.140108914,4qam_0.75,1,0.1
9.610299957,0.000119565,1.137167413,4qam_0.75,1,0.1
9.710299957,5.07e-05,1.13315523,4qam_0.75,1,0.1
9.810299957,0.000115942,1.132035512,4qam_0.75,1,0.1
9.910299957,9.66e-05,1.12985536,4qam_0.75,1,0.1
10.01029996,3.38e-05,1.12781559,4qam_0.75,1,0.1
10.11029996,2.78e-05,1.123301604,4qam_0.75,1,0.1
10.21029996,4.71e-05,1.121673819,4qam_0.75,1,0.1
10.31029996,2.78e-05,1.120190707,4qam_0.75,1,0.1
10.41029996,3.99e-05,1.116081621,4qam_0.75,1,0.1
10.51029996,2.54e-05,1.114127378,4qam_0.75,1,0.1
10.61029996,2.17e-05,1.110858339,4qam_0.75,1,0.1
