SNR (dB),BER,CSI,modulation_rate,modulation_rate_index,Ber Threshold
19.7815125,0.076227858,0.974145183,qam64_0.75,4,0.1
24.7815125,0.002769726,0.89408206,qam64_0.75,4,0.1
27.7815125,0.001171498,0.873991799,qam64_0.75,4,0.1
27.2815125,0.002000805,0.87724384,qam64_0.75,4,0.1
26.7815125,0.0015781,0.881962804,qam64_0.75,4,0.1
26.2815125,0.002616747,0.886847483,qam64_0.75,4,0.1
25.7815125,0.002085346,0.887497454,qam64_0.75,4,0.1
25.2815125,0.00242351,0.893053654,qam64_0.75,4,0.1
24.2815125,0.003039452,0.903087603,qam64_0.75,4,0.1
28.7815125,0.000905797,0.868539249,qam64_0.75,4,0.1
23.7815125,0.004400161,0.913100184,qam64_0.75,4,0.1
23.2815125,0.005450886,0.915811726,qam64_0.75,4,0.1
22.7815125,0.007966989,0.921869068,qam64_0.75,4,0.1
22.2815125,0.009694042,0.926139856,qam64_0.75,4,0.1
21.7815125,0.015652174,0.935178491,qam64_0.75,4,0.1
21.2815125,0.022049114,0.942098328,qam64_0.75,4,0.1
28.2815125,0.000764895,0.872205174,qam64_0.75,4,0.1
29.2815125,0.001014493,0.867749696,qam64_0.75,4,0.1
20.2815125,0.054049919,0.963594328,qam64_0.75,4,0.1
29.7815125,0.000728663,0.866029572,qam64_0.75,4,0.1
20.7815125,0.034223027,0.954447966,qam64_0.75,4,0.1
15.02059991,0.028828502,1.098337973,qam16_0.75,3,0.1
19.02059991,0.000483092,0.982453698,qam16_0.75,3,0.1
18.52059991,0.000809179,0.988291778,qam16_0.75,3,0.1
18.02059991,0.001147343,1.010096926,qam16_0.75,3,0.1
17.52059991,0.002181965,1.016167503,qam16_0.75,3,0.1
17.02059991,0.003007246,1.029885167,qam16_0.75,3,0.1
16.52059991,0.005140902,1.047133867,qam16_0.75,3,0.1
16.02059991,0.009778583,1.064422029,qam16_0.75,3,0.1
15.52059991,0.015877617,1.079046396,qam16_0.75,3,0.1
19.52059991,0.00031401,0.965038436,qam16_0.75,3,0.1
14.52059991,0.051268116,1.125621624,qam16_0.75,3,0.1
14.02059991,0.076759259,1.142983328,qam16_0.75,3,0.1
12.52059991,0.056566023,1.360629512,qam16_0.5,2,0.1
12.02059991,0.091992754,1.392012705,qam16_0.5,2,0.1
13.02059991,0.037085346,1.329537759,qam16_0.5,2,0.1
13.52059991,0.021932367,1.285237429,qam16_0.5,2,0.1
8.010299957,0.074029791,1.683812341,4qam_0.75,1,0.1
10.01029996,0.005652174,1.477400263,4qam_0.75,1,0.1
8.510299957,0.044995974,1.625189289,4qam_0.75,1,0.1
9.010299957,0.024291465,1.573144098,4qam_0.75,1,0.1
9.510299957,0.0140781,1.524584581,4qam_0.75,1,0.1
12.01029996,0.000394525,1.301855479,4qam_0.75,1,0.1
10.51029996,0.003719807,1.427811575,4qam_0.75,1,0.1
11.01029996,0.001799517,1.387465699,4qam_0.75,1,0.1
11.51029996,0.000929952,1.354304161,4qam_0.75,1,0.1
6.0,0.002580515,2.120855398,bpsk_0.5,0,0.1
4.5,0.02242351,2.419028207,bpsk_0.5,0,0.1
